Maximum of 50 posts available to include in this list;;;;;;
;;;;;;
Post URL;Post Publish Date;Engagements;;Post URL;Post Publish Date;Impressions
https://www.linkedin.com/posts/victor-ematin_qaengineer-aitesting-softwarequality-ugcPost-7451647178193821697-LNnS;4/19/2026;17;;https://www.linkedin.com/posts/victor-ematin_qaengineer-aitesting-softwarequality-ugcPost-7451647178193821697-LNnS;4/19/2026;2139
https://www.linkedin.com/posts/victor-ematin_four-ways-to-ai-based-testing-mas-swe-tester-ugcPost-7453070599373012995-GXcw;4/23/2026;13;;https://www.linkedin.com/posts/victor-ematin_istqb-testmanagement-ugcPost-7444420952412590080-zl0x;3/30/2026;711
https://www.linkedin.com/posts/victor-ematin_istqb-testmanagement-ugcPost-7444420952412590080-zl0x;3/30/2026;6;;https://www.linkedin.com/posts/victor-ematin_technical-evaluation-and-feature-summary-ugcPost-7462990642806382593-otbz;5/21/2026;623
https://www.linkedin.com/posts/victor-ematin_ai-llm-karpathy-share-7449191398676832256-ocXn;4/12/2026;5;;https://www.linkedin.com/posts/victor-ematin_onboarding-mentoring-hireabrfastabrvalidateabrfast-share-7439428507123920896-DNMZ;3/17/2026;556
https://www.linkedin.com/posts/victor-ematin_exploratorytesting-share-7436876308284002304-XyVx;3/11/2026;5;;https://www.linkedin.com/posts/victor-ematin_phase-2-the-refactoring-sprint-ugcPost-7466120792578121729-JL9-;5/29/2026;535
https://www.linkedin.com/posts/victor-ematin_ai-agents-for-testing-cline-as-vscode-plugin-ugcPost-7462977467499278337-M-NK;5/21/2026;4;;https://www.linkedin.com/posts/victor-ematin_ai-agents-for-testing-cline-as-vscode-plugin-ugcPost-7462977467499278337-M-NK;5/21/2026;496
https://www.linkedin.com/posts/victor-ematin_beyond-vibe-codingdawn-of-software30-ugcPost-7460450207936471040-XvgB;5/14/2026;4;;https://www.linkedin.com/posts/victor-ematin_zerobudgetqa-genaitesting-testautomation-ugcPost-7450219992798830592-y8ND;4/15/2026;395
https://www.linkedin.com/posts/victor-ematin_this-article-illustrated-by-notebooklm-ugcPost-7460454065471320064-maTO;5/14/2026;4;;https://www.linkedin.com/posts/victor-ematin_5-groundbreaking-shifts-in-google-antigravity-ugcPost-7465026209261907968-e2Hh;5/26/2026;369
https://www.linkedin.com/posts/victor-ematin_onboarding-mentoring-hireabrfastabrvalidateabrfast-share-7439428507123920896-DNMZ;3/17/2026;3;;https://www.linkedin.com/posts/victor-ematin_ai-llm-karpathy-share-7449191398676832256-ocXn;4/12/2026;331
https://www.linkedin.com/posts/victor-ematin_phase-2-the-refactoring-sprint-ugcPost-7466120792578121729-JL9-;5/29/2026;3;;https://www.linkedin.com/posts/victor-ematin_exploratorytesting-share-7436876308284002304-XyVx;3/11/2026;330
